DataColeta;IdNumeric;GrupoProduto;Produto;RazaoSocialPosto;CnpjPosto;Distribuidora;Endereço;Complemento;Bairro;Município;Latitude;Longitude;Uf;RegiaoPolitica;Ensaio;Resultado;UnidadeEnsaio;Conforme
2020-04-27;581966;Gasolina;GASOLINA C ADITIVADA;POSTO ALPHAVILLE;01.984.610/0001-30;PETROBRAS DISTRIBUIDORA S.A.;AVENIDA LUIZ VIANA FILHO,S/N;KM 08;TROBOGY;SALVADOR;-12.93740384;-38.39783088;BA;NORDESTE;Teor de Etanol;27;% volume;Sim
2020-04-27;581964;Gasolina;GASOLINA C ADITIVADA;POSTO INEMA;03.067.443/0001-98;BANDEIRA BRANCA;RODOVIA BA  528,S/N;LOTES DE 2 A 4;PARIPE;SALVADOR;-12.83376;-38.46071;BA;NORDESTE;Cor;Verde;;Sim
2020-04-27;581964;Gasolina;GASOLINA C ADITIVADA;POSTO INEMA;03.067.443/0001-98;BANDEIRA BRANCA;RODOVIA BA  528,S/N;LOTES DE 2 A 4;PARIPE;SALVADOR;-12.83376;-38.46071;BA;NORDESTE;Destilação - 10%;54.7;°C;Sim
2020-04-27;581964;Gasolina;GASOLINA C ADITIVADA;POSTO INEMA;03.067.443/0001-98;BANDEIRA BRANCA;RODOVIA BA  528,S/N;LOTES DE 2 A 4;PARIPE;SALVADOR;-12.83376;-38.46071;BA;NORDESTE;Teor de Marcador;0;;Sim
2020-04-29;582772;Gasolina;GASOLINA C ADITIVADA;POSTO CANUDOS;23.074.836/0001-36;PETROSERRA DISTRIBUIDORA DE PETRÓLEO LTDA;AVENIDA ENOCK CANARIO,180;;CENTRO;CANUDOS;;;BA;NORDESTE;Destilação - Resíduo;0.9;% volume;Sim
2020-04-29;582768;Gasolina;GASOLINA C ADITIVADA;JUAZEIRO DERIVADOS DE PETROLEO;16.964.743/0001-11;RAIZEN COMBUSTÍVEIS S.A.;AVENIDA SAARA,S/N;;ALTO DA MARAVILHA;JUAZEIRO;-9.42401333;-40.50050833;BA;NORDESTE;Aspecto;Límpido e isento de impurezas (LII);;Sim
2020-04-29;582768;Gasolina;GASOLINA C ADITIVADA;JUAZEIRO DERIVADOS DE PETROLEO;16.964.743/0001-11;RAIZEN COMBUSTÍVEIS S.A.;AVENIDA SAARA,S/N;;ALTO DA MARAVILHA;JUAZEIRO;-9.42401333;-40.50050833;BA;NORDESTE;Cor;Verde;;Sim
2020-04-29;582768;Gasolina;GASOLINA C ADITIVADA;JUAZEIRO DERIVADOS DE PETROLEO;16.964.743/0001-11;RAIZEN COMBUSTÍVEIS S.A.;AVENIDA SAARA,S/N;;ALTO DA MARAVILHA;JUAZEIRO;-9.42401333;-40.50050833;BA;NORDESTE;Destilação - 10%;53.8;°C;Sim
2020-04-29;582767;Gasolina;GASOLINA C ADITIVADA;POSTO CENTRAL 01;16.498.743/0001-73;ALESAT COMBUSTÍVEIS S. A.;AVENIDA RUY BARBOSA,177;SEDE;CENTRO;EUCLIDES DA CUNHA;;;BA;NORDESTE;Destilação - PFE;195.6;°C;Sim
2020-04-29;582767;Gasolina;GASOLINA C ADITIVADA;POSTO CENTRAL 01;16.498.743/0001-73;ALESAT COMBUSTÍVEIS S. A.;AVENIDA RUY BARBOSA,177;SEDE;CENTRO;EUCLIDES DA CUNHA;;;BA;NORDESTE;Destilação - 50%;70.6;°C;Sim
